Date;Price;Open;High;Low;Vol.;Change %
Feb 25, 2019;2494.63;2491.54;2506.94;2481.73;-;0.24%
Feb 22, 2019;2488.63;2470.75;2490.67;2468.14;-;0.74%
Feb 21, 2019;2470.23;2488.44;2494.05;2462.92;-;-0.71%
Feb 20, 2019;2487.82;2462.15;2487.82;2462.15;-;1.19%
Feb 19, 2019;2458.55;2471.17;2480.29;2450.17;-;-0.56%
Feb 18, 2019;2472.41;2489.79;2494.43;2456.01;-;-0.71%
Feb 15, 2019;2490.16;2465.02;2490.16;2465.02;-;1.19%
Feb 14, 2019;2460.82;2468.31;2475.50;2448.41;-;-1.00%
Feb 13, 2019;2485.76;2534.57;2535.96;2483.81;-;-1.88%
Feb 12, 2019;2533.32;2510.91;2535.66;2510.91;-;0.92%
Feb 11, 2019;2510.22;2503.88;2521.82;2503.76;-;0.30%
Feb 08, 2019;2502.82;2508.85;2511.21;2495.00;-;-0.28%
Feb 07, 2019;2509.89;2537.41;2540.45;2506.60;-;-1.17%
Feb 06, 2019;2539.73;2547.53;2551.97;2533.92;-;-0.30%
Feb 05, 2019;2547.27;2524.35;2549.62;2523.78;-;0.94%
Feb 04, 2019;2523.52;2523.04;2537.47;2519.79;-;0.07%
Feb 01, 2019;2521.70;2520.08;2531.51;2512.76;-;0.02%
Jan 31, 2019;2521.10;2517.89;2536.28;2515.86;-;0.37%
Jan 30, 2019;2511.86;2497.09;2513.77;2492.52;-;0.54%
Jan 29, 2019;2498.35;2475.68;2501.69;2464.25;-;0.87%
Jan 28, 2019;2476.81;2499.19;2502.73;2467.50;-;-0.86%
Jan 25, 2019;2498.23;2485.71;2498.23;2482.99;-;0.63%
Jan 24, 2019;2482.71;2490.05;2494.09;2470.30;-;-0.35%
Jan 23, 2019;2491.49;2467.91;2493.06;2466.59;-;0.92%
Jan 22, 2019;2468.73;2466.35;2469.87;2454.19;-;0.02%
Jan 21, 2019;2468.25;2473.67;2481.88;2468.18;-;-0.22%
Jan 18, 2019;2473.61;2454.19;2473.61;2451.65;-;1.06%
Jan 17, 2019;2447.64;2436.48;2447.64;2425.51;-;0.54%
Jan 16, 2019;2434.60;2440.34;2446.13;2426.80;-;-0.20%
Jan 15, 2019;2439.55;2442.26;2457.35;2423.86;-;-0.02%
Jan 14, 2019;2440.15;2438.35;2440.15;2418.65;-;-0.18%
Jan 11, 2019;2444.45;2435.71;2448.17;2430.45;-;0.42%
Jan 10, 2019;2434.15;2413.27;2434.15;2398.16;-;0.83%
Jan 09, 2019;2414.13;2393.55;2414.13;2393.55;-;1.02%
Jan 08, 2019;2389.69;2400.96;2403.66;2375.01;-;-0.70%
Jan 04, 2019;2406.50;2377.71;2406.50;2377.71;-;1.30%
Jan 03, 2019;2375.60;2370.56;2387.21;2350.41;-;0.26%
Dec 29, 2018;2369.33;2359.38;2370.00;2357.10;-;0.46%
Dec 28, 2018;2358.50;2329.96;2369.24;2329.96;-;1.32%
Dec 27, 2018;2327.81;2316.66;2340.63;2316.66;-;0.82%
Dec 26, 2018;2308.85;2291.98;2315.98;2291.98;-;0.79%
Dec 25, 2018;2290.86;2318.43;2318.43;2258.27;-;-1.35%
Dec 24, 2018;2322.27;2345.98;2346.36;2315.43;-;-1.06%
Dec 21, 2018;2347.17;2351.98;2351.98;2330.86;-;-0.24%
Dec 20, 2018;2352.88;2348.79;2352.88;2317.57;-;-0.24%
Dec 19, 2018;2358.58;2347.28;2360.36;2330.72;-;0.35%
Dec 18, 2018;2350.29;2353.75;2353.75;2321.57;-;-0.37%
Dec 17, 2018;2359.13;2363.55;2379.07;2354.87;-;-0.28%
Dec 14, 2018;2365.69;2376.87;2376.87;2351.62;-;-0.54%
Dec 13, 2018;2378.50;2368.30;2379.18;2359.83;-;0.34%
Dec 12, 2018;2370.35;2392.84;2395.81;2366.76;-;-1.00%
Dec 11, 2018;2394.26;2397.71;2408.07;2382.20;-;-0.11%
Dec 10, 2018;2396.84;2426.40;2429.72;2396.69;-;-1.42%
Dec 07, 2018;2431.29;2415.04;2440.03;2412.70;-;0.79%
Dec 06, 2018;2412.31;2438.79;2438.79;2391.63;-;-1.36%
Dec 05, 2018;2445.55;2425.02;2445.55;2409.32;-;0.09%
Dec 04, 2018;2443.38;2440.63;2449.92;2426.71;-;0.09%
Dec 03, 2018;2441.19;2405.18;2446.15;2405.18;-;2.04%
Nov 30, 2018;2392.50;2394.54;2402.14;2378.74;-;-0.25%
Nov 29, 2018;2398.56;2387.45;2410.49;2377.92;-;0.73%
Nov 28, 2018;2381.12;2341.11;2386.82;2341.11;-;1.81%
Nov 27, 2018;2338.71;2311.17;2345.01;2310.32;-;1.31%
Nov 26, 2018;2308.50;2344.38;2346.94;2284.30;-;-1.47%
Nov 23, 2018;2342.97;2368.39;2368.39;2334.00;-;-1.12%
Nov 22, 2018;2369.53;2358.14;2372.06;2348.04;-;0.49%
Nov 21, 2018;2357.97;2339.29;2362.28;2336.18;-;0.70%
Nov 20, 2018;2341.60;2371.71;2369.60;2323.95;-;-1.36%
Nov 19, 2018;2373.78;2375.21;2391.72;2368.45;-;0.05%
Nov 16, 2018;2372.67;2384.76;2398.20;2365.20;-;-0.37%
Nov 15, 2018;2381.45;2382.43;2396.93;2377.48;-;0.12%
Nov 14, 2018;2378.59;2368.89;2379.67;2346.68;-;0.15%
Nov 13, 2018;2374.94;2388.27;2398.95;2373.61;-;-0.79%
Nov 12, 2018;2393.81;2407.97;2425.08;2391.57;-;-0.40%
Nov 09, 2018;2403.47;2431.85;2431.85;2385.23;-;-1.44%
Nov 08, 2018;2438.62;2446.23;2454.84;2430.84;-;-0.27%
Nov 07, 2018;2445.34;2411.46;2445.34;2392.05;-;1.37%
Nov 06, 2018;2412.31;2381.38;2412.31;2381.38;-;1.44%
